t_lag,D_wx,D_wy,D_wz,D_ty,D_tz,D_wty,D_wtz
14.7,2.392018747554308e-09,2.4970379367186885e-09,2.4915513263896102e-09,-7.729561962367293e-11,-4.2027439369174233e-11,-1.3810007688821421e-11,-2.8818049024392657e-11
14.85,2.3047151590290536e-09,2.4989199925396116e-09,2.492910959735496e-09,-1.5708492866853137e-10,-6.420217880785354e-10,-1.3429600186025935e-11,-5.7056066898339075e-11
15.0,2.24773462471293e-09,2.5021496608600327e-09,2.5048255643976065e-09,2.011577465334571e-10,-1.3101477397803143e-10,2.503221786481234e-11,3.1980162919310844e-11
15.149999999999999,2.2293437711932206e-09,2.5008516229480625e-09,2.5037323547358087e-09,6.982000389368798e-11,4.5128221880721014e-10,1.1682182551426194e-11,5.1507303914590454e-11
15.299999999999999,2.2416248068881656e-09,2.4975740973480624e-09,2.497037526675541e-09,-7.141554989668208e-11,7.222317982534015e-10,-1.472172518052811e-11,3.80168573992245e-12
15.45,2.292649609455128e-09,2.499285194868476e-09,2.4953819521781493e-09,-8.470394893000359e-11,-5.883771519930298e-10,-7.087527738667267e-12,-4.0999788150674627e-11
15.6,2.3831513044303107e-09,2.5015783031810846e-09,2.4989732940948886e-09,-2.5149602992183042e-11,-6.934079559216789e-10,1.3726637215558456e-11,-3.099274365022648e-11
15.75,2.491148142900563e-09,2.4983105292317725e-09,2.498250031182005e-09,-2.777668031960158e-11,1.9212083537237562e-10,-9.273565449184709e-12,-6.276324827324886e-12
15.899999999999999,2.6002602479537292e-09,2.5003745685147265e-09,2.5029003281775426e-09,6.783939718800047e-11,6.327895488926827e-10,6.961612438520673e-13,4.5521551636817685e-11
16.05,2.686315634959321e-09,2.502596610947438e-09,2.5058907468673646e-09,1.3433207095472474e-10,1.5625989182979296e-10,2.751989135735646e-11,4.487387025005457e-11
16.2,2.754581416986683e-09,2.4993840571551935e-09,2.4968822923012812e-09,-7.17979801254745e-11,-4.4993200877966264e-10,-2.4918807124391514e-12,-3.415650185302081e-11
16.349999999999998,2.78091163061163e-09,2.4983479263825963e-09,2.495389839667342e-09,-1.6870382878935482e-10,-4.6148516887403836e-10,-1.3937057180454625e-11,-5.979294274825477e-11
16.5,2.7512127174886852e-09,2.500457420954404e-09,2.5008561678223226e-09,1.3446540373252444e-10,2.7743161264211055e-10,2.0871403150662577e-12,-1.7948352799714758e-12
16.65,2.678012819040917e-09,2.5028503291365197e-09,2.506499385144744e-09,5.632238434158919e-11,6.266082228694642e-10,2.8451898670443173e-11,6.720715024040228e-11
16.8,2.579094414706141e-09,2.498534072726648e-09,2.501118353093146e-09,-5.3556277314889464e-11,-3.84929600719365e-10,-1.1822440531905537e-11,1.3208365672746836e-11
16.95,2.4832955485197687e-09,2.4984975692015814e-09,2.498837165304318e-09,-1.905958624203619e-10,-4.892791339237242e-10,-2.9866405477938995e-11,-4.6470120210412796e-11
17.099999999999998,2.3912913092577416e-09,2.5033799726285523e-09,2.505005365530449e-09,1.8672709233456352e-10,5.937507012224322e-10,2.4239407649777854e-11,-2.686651929668352e-12
